Entity,Code,Year,Other renewables (including geothermal and biomass) electricity generation - TWh,Solar generation - TWh,Wind generation - TWh,Hydro generation - TWh
World,OWID_WRL,1965,17.985231,0,0,923.19806
World,OWID_WRL,1966,19.806007,0,0,983.81696
World,OWID_WRL,1967,19.98657,0,0,1005.7424
World,OWID_WRL,1968,22.120045,0,0,1059.2887
World,OWID_WRL,1969,23.257965,0,0,1121.7424
World,OWID_WRL,1970,25.701897,0,0,1174.6497
World,OWID_WRL,1971,27.888294,0,0,1227.2422
World,OWID_WRL,1972,29.888775,0,0,1284.629
World,OWID_WRL,1973,32.09585,0,0,1303.013
World,OWID_WRL,1974,34.289085,0,0,1431.2317
World,OWID_WRL,1975,34.81208,0,0,1448.8834
World,OWID_WRL,1976,38.79105,0,0,1443.1366
World,OWID_WRL,1977,40.89204,0,0,1491.6724
World,OWID_WRL,1978,43.29665,0,0.003,1614.3823
World,OWID_WRL,1979,46.499256,0,0.006,1695.1862
World,OWID_WRL,1980,49.717464,0,0.0105,1731.6493
World,OWID_WRL,1981,53.48617,0,0.0105,1768.9036
World,OWID_WRL,1982,61.708954,0,0.0185,1800.9081
World,OWID_WRL,1983,68.35493,0.003,0.03279495,1877.7689
World,OWID_WRL,1984,76.34615,0.006311111,0.044755556,1941.3734
World,OWID_WRL,1985,78.702576,0.011747475,0.064220205,1979.2437
World,OWID_WRL,1986,85.44338,0.015183838,0.13883132,2006.073
World,OWID_WRL,1987,91.51602,0.01060303,0.19537677,2033.1924
World,OWID_WRL,1988,94.16091,0.01019596,0.3315798,2098.3489
World,OWID_WRL,1989,104.67236,0.26222324,2.6497767,2087.587
World,OWID_WRL,1990,117.22435,0.38834995,3.6324706,2158.619
World,OWID_WRL,1991,122.26321,0.5053229,4.086107,2208.5417
World,OWID_WRL,1992,131.15991,0.4666791,4.732812,2208.314
World,OWID_WRL,1993,135.48085,0.5566775,5.704169,2341.3193
World,OWID_WRL,1994,140.67743,0.5969829,7.13173,2355.9048
World,OWID_WRL,1995,146.64236,0.63888276,8.272123,2483.388
World,OWID_WRL,1996,150.7037,0.69922996,9.215601,2516.815
World,OWID_WRL,1997,161.41173,0.7496558,12.028216,2561.356
World,OWID_WRL,1998,168.2174,0.811852,15.92926,2580.9336
World,OWID_WRL,1999,176.64807,0.9052879,21.226898,2600.4685
World,OWID_WRL,2000,184.87907,1.0581311,31.409548,2646.6404
World,OWID_WRL,2001,192.04214,1.4221795,38.380005,2578.572
World,OWID_WRL,2002,206.7004,1.7972716,52.38179,2626.1094
World,OWID_WRL,2003,218.37132,2.252987,63.28461,2622.8984
World,OWID_WRL,2004,236.04176,2.9687355,85.61839,2816.5298
World,OWID_WRL,2005,255.43965,4.1832795,104.62726,2911.256
World,OWID_WRL,2006,272.02396,5.7563057,133.50282,3022.2332
World,OWID_WRL,2007,295.24524,7.807503,171.50429,3072.41
World,OWID_WRL,2008,315.87756,12.6828,221.41243,3251.6045
World,OWID_WRL,2009,339.296,21.061785,276.7973,3246.3335
World,OWID_WRL,2010,379.43686,33.900085,346.40915,3430.111
World,OWID_WRL,2011,398.68256,65.70372,440.67877,3492.5789
World,OWID_WRL,2012,432.14685,101.51538,530.50684,3641.4434
World,OWID_WRL,2013,466.247,138.61772,635.519,3787.8914
World,OWID_WRL,2014,505.604,197.2948,705.89264,3888.7966
World,OWID_WRL,2015,546.5347,256.00818,831.32324,3878.7493
World,OWID_WRL,2016,554.74475,328.3949,962.1358,4015.5164
World,OWID_WRL,2017,586.10596,445.3096,1141.918,4068.174
World,OWID_WRL,2018,633.4013,574.7055,1270.4744,4188.218
World,OWID_WRL,2019,665.01886,705.46893,1421.3763,4243.124
World,OWID_WRL,2020,702.8569,854.9205,1594.6876,4359.4106
World,OWID_WRL,2021,756.224,1051.6215,1859.5857,4288.8228
World,OWID_WRL,2022,776.7825,1321.914,2107.9631,4323.446
World,OWID_WRL,2023,781.49945,1641.5767,2325.3062,4240.012
